id, name, slogan, description, category, default_price
133,"Michelle Shirt","Maxime aliquam eius.","Provident totam velit consequatur aut harum molestiae. Quia et quia voluptatem ullam quisquam. Ea nemo odio enim ab voluptas. Maxime ut ex. Et doloribus temporibus voluptas rerum aut culpa veniam ducimus et. Rerum at placeat aut ipsam consequatur quis.","Shirt","$781"
134,"Lavonne Dress","Consequatur quia repudiandae rerum voluptatem.","Esse eum nobis molestias quia omnis. Perferendis sit incidunt quis blanditiis. Odit ut aut. Ullam excepturi qui ratione dolor cum. Minima impedit et atque dolores quidem consequatur beatae. Soluta est odio non et labore tempore consequatur rerum voluptas.","Dress",759
135,"Stacey Shorts","Molestias porro a.","Maxime ullam sit fugit ut. Officiis minima et quibusdam soluta. Inventore ullam recusandae consequatur sapiente nemo.","Shorts",927
136,"Greyson Shirt","Blanditiis omnis consequatur voluptatibus impedit.","Et suscipit ullam aut. Est quia dicta voluptas adipisci blanditiis dolorem harum facere. Sapiente eum quia necessitatibus dolores et reprehenderit. Quo qui sed. Aut optio enim ex deserunt dolores eaque eveniet dolorum.","Shirt",854
137,"Dorris Tank Top","Eos iusto expedita aperiam voluptatem.","Velit expedita non possimus cum id aperiam asperiores consequatur. Facilis odit vel sit non quis nobis laboriosam ullam unde. Quis id dignissimos. Quia suscipit voluptatem adipisci culpa qui eius consequuntur laudantium iste.","Tank Top","$886"
138,"Xzavier Sunglasses","Enim voluptatem blanditiis aut temporibus enim earum quis eum odio.","Consequatur praesentium sequi expedita. Voluptas eius ad et. Magni aut est natus molestiae sed dolore.","Sunglasses",954
139,"The Vernice Sweatpants","Est eos veritatis.","Qui sed voluptas aperiam minus adipisci inventore perferendis quidem. Illo id commodi dolorem fugit consequatur veniam aut mollitia et. Aut et dolorem commodi doloribus sint iste accusantium expedita.","Sweatpants",620
140,"Cara Socks","Esse similique culpa id reprehenderit ad saepe.","Repudiandae voluptatem repudiandae dolor. Reiciendis cupiditate provident animi qui id omnis aut. Perferendis rem autem aliquam non doloribus doloribus eos.","Socks",16
141,"Marcus Sweatpants","Labore tempore eos et placeat fugiat culpa ut.","Et nihil iure possimus perferendis. Dolorem sunt beatae debitis rem cum natus quia molestiae. Iure et voluptatem praesentium iusto cupiditate. Impedit quasi aspernatur vitae a quos aut sit ducimus quasi. Repellat accusantium corrupti sint omnis nam eum. Odit impedit soluta voluptatum voluptas quaerat a sint.","Sweatpants","786.00"
142,"Camryn Boots","Iste corporis magnam.","Rerum impedit illo et autem. Odio ipsam autem vel at et odit doloremque incidunt. Quia exercitationem eum quam. Nobis inventore est rerum nisi. Inventore amet corrupti distinctio nemo.","Boots",936
143,"Khalid Skirt","Quod in quis vel non ratione.","Quas adipisci in repellat quam sint quia vel provident ipsa. Dolor dolorem voluptatem. Delectus dicta illo in ea hic officia similique. Animi distinctio alias fugiat porro nemo voluptatem laudantium. Veritatis aut sit quae voluptatem eaque fuga. Illum voluptas quo aut eos delectus ea inventore aliquid.","Skirt",78
144,"Alvina Pants","Nemo facilis facere soluta.","Facere sint incidunt qui id sed nesciunt fuga earum voluptatem. Quos nesciunt omnis non dolorem accusamus provident ea sint. Voluptatum omnis suscipit debitis.","Pants",74
145,"The Demond Sweatpants","Nisi porro in.","Assumenda nesciunt quis est. Deserunt provident accusantium porro molestiae. Sint molestias qui voluptas voluptate. Laboriosam ipsam maxime quis iste illo consequatur consectetur et ea. Praesentium dolore rem aperiam ut.","Sweatpants",53
146,"Gaston Sunglasses","Magni veritatis fuga ad maiores repellendus ut mollitia maiores.","Et ea autem omnis minus tempora expedita excepturi. Hic eaque doloremque sit in blanditiis sint quae eligendi. Sit beatae ea repellendus rerum nesciunt ea consequatur qui et. Dolor occaecati qui voluptatem voluptas qui odit et.","Sunglasses",59
147,"Margret Backpack","Quasi ut quaerat et.","Alias quis quos a et voluptatem dolor consequatur accusantium ipsum. Consequuntur debitis sit. Quibusdam quis sapiente pariatur exercitationem ratione voluptatem suscipit accusamus. Accusantium voluptate et. Incidunt qui nihil magni. Quia dolorum suscipit autem nam in.","Backpack","128.00"
148,"Mckenna Jacket","Labore magni earum eveniet.","Vero laboriosam consequuntur voluptates. Eum id et et at. Autem delectus consequatur nihil dolorem voluptas maiores nulla rem voluptas. Voluptas id cupiditate reiciendis doloremque culpa debitis commodi repellat. Doloremque ipsum incidunt aut rerum consectetur iure. Nulla nobis sunt corporis est.","Jacket",987
149,"Nadia 0 Suit","Sed alias fuga quod accusantium ducimus omnis.","Soluta velit corporis vel officiis autem. Consequuntur corrupti veniam accusantium molestiae omnis quis ab incidunt. Ea dolores est explicabo quos asperiores ullam dolore nihil. Numquam illo maxime voluptatem.","Suit",574
150,"Kathryn Slacks","Blanditiis voluptatibus voluptatem sunt quas expedita officiis.","Molestias et quo reiciendis perferendis enim. Dolorum ut repellendus. Omnis eos dolores laborum odit illo tempora. Ipsam autem excepturi qui ratione.","Slacks",505
151,"Clair Shorts","Perferendis saepe commodi nam.","Fuga error quos voluptatem quisquam doloremque rerum aliquid aut perferendis. Porro temporibus aut numquam natus nulla similique maxime enim impedit. Aut illo hic. Voluptates voluptatem quas et magnam ullam non sequi. Sed ducimus reiciendis enim et eum molestiae.","Shorts",89
152,"Jennie Romper","Rerum ipsum autem nesciunt modi consequatur accusantium.","Porro voluptas aut rerum eos vero amet. Itaque sed nihil iure et fugiat et et dolorum. Corporis est vitae omnis illum. Enim laborum voluptates natus quos et. Delectus magni voluptas ipsum. Ut illo deleniti iusto delectus ipsam consequuntur.","Romper",946
153,"Burley Jacket","Quos necessitatibus odio suscipit id ullam dolores cupiditate accusantium.","Quos quia accusantium labore est occaecati unde quia. Aut nam praesentium reiciendis rerum. Nesciunt libero quo fugiat voluptatum dolor accusantium nemo sed.","Jacket",773
154,"Freddy Dress","Illum voluptatem deserunt veritatis accusantium qui.","Iure animi molestiae ipsa qui quo. Repellat adipisci dolor aut blanditiis magni recusandae iure ut. A ratione facilis nihil laudantium.","Dress",547
155,"Rowland 50 Cap","Et maiores ut libero eum iste omnis molestias.","Aliquid est dolor officia corrupti cumque blanditiis excepturi adipisci. Blanditiis ut rem veritatis eos totam fugiat quae pariatur ad. Minus sequi ducimus ut adipisci et nihil veritatis minima accusamus.","Cap",969
156,"Carolina Boots","Ullam iusto ratione perferendis reiciendis iste.","Expedita nostrum reprehenderit quo odit est sequi et vitae. Cupiditate ut molestiae nihil dolorem molestiae architecto facere ab et. Consequatur porro et dolorum quos dicta dignissimos aut. Vitae fuga debitis voluptatem et.","Boots",367
157,"Gilda Shorts","Minus dolor ex beatae corporis omnis ipsa laudantium.","Atque voluptatem facilis eaque dolore nihil voluptas. In enim quos necessitatibus aliquid sed. Neque dolores temporibus saepe. Quia sapiente quis placeat illum esse optio. Qui ut dignissimos quibusdam accusamus.","Shorts","$997"
158,"Gustave Jacket","Voluptatem beatae ducimus quae.","Excepturi consectetur non magnam. Officia vitae dolores nesciunt suscipit quidem repudiandae ex odit voluptatem. Ut rerum eaque facilis qui quis. Aliquid quia ipsam nulla molestiae sapiente vel nisi.","Jacket","$617"
159,"Trycia Heels","Quia provident consequatur minima et quia corporis fuga.","Eos atque eos rem. Quis porro qui officiis adipisci omnis. Optio et eveniet eum et qui aut rerum et. Ducimus aut ex quasi dolorum porro quisquam dignissimos laborum voluptatem. Aliquam corrupti laudantium voluptatem.","Heels",815
160,"Geovanny Sweatpants","Voluptatem eos quaerat quia esse eligendi et inventore repudiandae rerum.","Sit labore similique. Dolorem saepe corrupti eos voluptatem et facere aut. Sint aut amet aut ut molestiae aliquam omnis similique consequatur.","Sweatpants",252
161,"Florencio Suit","Enim laudantium aut et et ut atque iste ducimus debitis.","Sit nesciunt quod labore est est animi voluptas quasi quis. Voluptatibus aut odio unde omnis velit illo vitae consectetur molestias. Eos similique veritatis voluptatem ipsa incidunt aliquam a illum laborum. Soluta molestiae beatae est dolore error.","Suit",407
162,"The Armand Tank Top","Qui et laudantium et rem expedita.","Debitis fugiat nostrum enim pariatur. Sed repellendus qui dolorem. Dolor in corrupti expedita adipisci occaecati qui. Perspiciatis quaerat voluptatem non dolores harum laudantium alias qui odio. Molestiae corrupti dolorem dolores occaecati voluptate eligendi exercitationem ut saepe.","Tank Top",475
163,"Anahi Heels","Voluptate aut illum et ut nobis.","Aut similique ratione quidem sed suscipit voluptatem ut. Saepe omnis ut. Ducimus eveniet et est iusto et veritatis reprehenderit repudiandae voluptates.","Heels",815
164,"Clair 50 Shorts","Voluptate laudantium alias qui aliquam laboriosam quia quae tenetur autem.","Et aut ea facere quae explicabo consequatur voluptas eos ratione. Et consequuntur error asperiores rerum molestiae voluptate. Repudiandae laudantium sint veritatis architecto et est nesciunt. Ad voluptas quam sequi id deleniti est ipsa veritatis dolorem.","Shorts",475
165,"The Alanis Trousers","Necessitatibus aut omnis.","Aut non officia consequatur repudiandae. Aut eligendi quis commodi ducimus animi et. Libero quidem labore laboriosam. Veniam possimus facere ut autem ea itaque atque reiciendis. Distinctio quibusdam quasi a suscipit quis quis.","Trousers",701
166,"Jalen Shirt","Facere fugit ea similique et est.","Debitis et repellendus. Amet ut fugit sit rerum in quasi eos sint nemo. Veritatis neque assumenda quae officia iste et quasi est. Rerum quo explicabo molestias ratione iure quidem odit cum.","Shirt",81
167,"Brent Tank Top","Debitis distinctio fugiat ullam.","Ipsum incidunt dolor illo facilis unde. Nihil a voluptas sint repudiandae. Maxime eius nulla impedit soluta aut et natus. Qui quidem quae quia enim voluptates impedit consectetur in. Earum ea dolorem ipsum similique.","Tank Top",310
168,"Eldon Shoes","Sint facilis est voluptates accusamus.","Perferendis suscipit possimus debitis sequi assumenda consequatur. Omnis molestiae quae voluptas. Delectus vel reiciendis velit explicabo dolor culpa quibusdam. Sint natus dicta exercitationem hic in occaecati non asperiores qui. Sed et eos cumque. Et ipsam voluptatem quidem deserunt omnis.","Shoes",624
169,"Sonny Skirt","Assumenda voluptas temporibus.","Voluptatem eos animi inventore dolor et corporis nostrum. Nihil enim molestiae fuga omnis magni tenetur. Esse odit dolores deserunt non necessitatibus est.","Skirt","4.00"
170,"Ernestine Sweatpants","Dolores et eveniet voluptas autem perspiciatis neque quo iste minus.","Blanditiis rem ab est. Similique et eos rerum dolores eos iste dolor. Unde itaque atque deleniti quo consequatur dolore est.","Sweatpants",458
171,"Joanne Shorts","Aut fugit sint vitae labore id quia itaque.","Ut optio rerum quisquam et. Reprehenderit veniam iste impedit ipsum perferendis. Fuga quasi cum iste et doloribus eos sint. Doloremque et et eum sit dignissimos magni. Illo ab praesentium explicabo et fuga veniam non perferendis. Eius quo consequuntur architecto id molestiae non numquam cupiditate.","Shorts",836
172,"Noble Trousers","Qui consequatur aut dolorem nesciunt aut similique et maxime et. Cum veniam atque. Odit ea et cumque molestias voluptatibus commodi dolores sint. Quia corporis et et. Numquam reprehenderit earum rerum ea. Nobis qui dolor.","Trousers","$446"
173,"Willie Trousers","Sint sint harum eaque in.","Exercitationem optio cumque mollitia est eaque. Ipsa aut sunt sequi sunt debitis nemo. Sed aspernatur fugiat.","Trousers",78
174,"Chauncey Skirt","Ut unde sit nam nisi.","Magni enim illum illum tenetur aut laborum laudantium et ea. Nesciunt voluptates cumque. Aperiam numquam nam tempore fugiat atque perferendis. Ad illo accusantium ipsum non temporibus sunt. Sapiente laudantium autem praesentium saepe quis facilis. Temporibus molestiae harum repudiandae aut a ut.","Skirt",830
175,"Vesta Trousers","Et et iusto ut blanditiis sit optio.","Velit animi dicta. Animi pariatur qui. Ad fugiat laboriosam qui natus id sunt. Aperiam debitis eligendi cumque non pariatur consectetur. Aperiam cumque voluptatem et quasi quis est rem.","Trousers",254
176,"Sigurd Hoodie","In recusandae velit est ut.","Et deserunt repellat unde cum. Est aut velit. Incidunt soluta recusandae autem non illum quia. Dolorem sapiente illo numquam voluptas maiores rem natus iusto repudiandae. Ab error cumque et corrupti id.","Hoodie",871
177,"The Roman Romper","Provident sint nemo.","Ut iusto quis rem deserunt et quis hic et voluptatum. Voluptatem voluptas animi eligendi ut ad et. Saepe consequatur sunt ea voluptatem quibusdam eos. Dolores est dicta aut. Maiores totam reiciendis suscipit quam.","Romper",375
178,"Elijah Shirt","Eveniet fuga neque laboriosam.","Dolore et quaerat aut in placeat ipsam quidem neque eos. Harum sunt inventore. Suscipit omnis nisi provident expedita iusto et numquam. Aut dolorum ea. Dolores sit sit suscipit asperiores. Tempora blanditiis cumque quia molestias ea vel.","Shirt",28
179,"Lucile Sweatpants","Mollitia et temporibus sint ducimus molestias dolores mollitia. Ut asperiores labore. Et eveniet similique dolorem et rerum et minima. Non hic corrupti repudiandae itaque. Ut quia et minima nulla quaerat.","Sweatpants",961
180,"Carlie 0 Romper","Sequi numquam labore.","Ex est maxime odit minus debitis rerum. Magnam corrupti fugit consequuntur qui corrupti pariatur. Laborum et sunt aut assumenda qui est. Laudantium iusto consequatur nostrum laboriosam sapiente neque quis dignissimos eaque. Alias iure non non occaecati consectetur et repudiandae. Voluptatum esse autem ut est enim quod omnis.","Romper",727
181,"Jaylin Suit","Asperiores exercitationem distinctio ut facilis inventore.","Repellat qui nesciunt qui labore qui consequatur. Et quia sunt rerum maiores quo consequuntur odio voluptas sapiente. Laboriosam doloremque totam ea officiis non nihil exercitationem voluptatum.","Suit","165.00"
182,"Mac 0 Socks","Aspernatur illo quos porro quasi rerum omnis similique ab aut.","Doloribus est officiis mollitia tempore quia iure consequatur. Vel modi consequatur nisi iure voluptates voluptas. Est eum est.","Socks",309
183,"Gordon Socks","Nostrum voluptatem quisquam molestias quibusdam veniam.","Eos et laudantium eligendi nisi. Et veniam qui. Consequatur quod earum dolorum est error sit itaque. Officiis recusandae eum dolorem quo porro et recusandae deleniti.","Socks",738
184,"Priscilla Coat","Eum quis amet quia molestias est.","Cum ut autem nisi consequatur maxime necessitatibus quisquam aut in. Necessitatibus consequatur possimus itaque aut voluptatem ea. Officia odio qui vel dolorum.","Coat",877
185,"Deanna Coat","Et aliquid nulla sit porro et non.","Error error quaerat. Nesciunt veritatis aliquid autem beatae. Velit expedita sit et.","Coat",80
186,"Lucy Hoodie","Consequuntur incidunt dolorum fuga et.","Ex explicabo et ipsum. Repellendus cupiditate non eligendi perspiciatis qui minima dolorem ut. Non voluptates ut dolor error. Numquam ex enim repellat necessitatibus. Saepe aut excepturi sapiente. Voluptas id in natus eveniet iure pariatur.","Hoodie",833
187,"Lane Coat","Aspernatur natus est et aut beatae totam.","Quae laborum cupiditate. Sed aut quia voluptate. Fugiat nostrum nobis. Voluptas architecto ipsa et ut labore adipisci et velit. Placeat atque odit quo incidunt ea deserunt illum et.","Coat",588
188,"Jennie 50 Trousers","Impedit nisi accusamus non.","Non commodi atque explicabo dolor quo. Unde minima officiis impedit eos. Ea quaerat et. Dolorem perspiciatis aut illo et. Consectetur animi eos ratione cumque deleniti sapiente quis.","Trousers",300
189,"Donato Heels","Est consectetur provident voluptatem.","Laborum animi quod. Sed natus vel est. Quidem officia est ad adipisci.","Heels",196
190,"Tyler Pants","Tempora voluptatem at repudiandae porro eligendi illum.","Voluptas doloribus odit rerum aut iure et dolor autem. Sit ab ducimus quas est dolorem soluta quidem. Ea aut suscipit.","Pants",642
191,"Adelbert Skirt","Dolor asperiores provident autem suscipit eius.","Unde sit explicabo et ut corrupti. Necessitatibus rerum necessitatibus omnis. Ut reiciendis harum laboriosam aut consequatur cumque aut deserunt.","Skirt",823
192,"The Vicky Shorts","Labore nisi inventore id consequatur ut recusandae cum porro.","Voluptas earum sed aut consectetur et itaque sint voluptatum nesciunt. Vero necessitatibus natus reiciendis rerum quibusdam recusandae voluptas aut. Facere nihil dolor et ratione quas. Dolore eos rem et eius velit tempore est qui quo. Quibusdam aut eveniet omnis alias sint blanditiis velit aut.","Shorts",34
193,"Eleanora Shirt","Ducimus sequi alias ratione.","Et temporibus dolorum pariatur sint. Et eaque et qui atque. Aut repellendus ut eos voluptatem a omnis veritatis. Maiores aut qui commodi. Quas architecto expedita adipisci ullam eos. Consequuntur quis minima soluta nihil et sed quaerat.","Shirt",846
194,"Elta Socks","Reprehenderit culpa esse exercitationem sequi commodi quod et voluptas optio.","Vitae reprehenderit odio atque dignissimos voluptatem. Quos accusamus ipsam praesentium aliquam repellat dolor ut nobis doloremque. Aut quam est aliquid aspernatur quibusdam doloribus. Vero aut assumenda. Consequatur eaque delectus.","Socks","$862"
195,"Kelvin 50 Sunglasses","Dolores recusandae praesentium aperiam dolor ut.","Aut eum voluptas suscipit omnis repellendus quod. Optio in consectetur alias. Optio voluptas aspernatur. Ut soluta unde et sed quo. Quo dolorem modi excepturi rerum explicabo.","Sunglasses",276
196,"Thalia Pants","Placeat autem asperiores magnam rerum aut animi.","Et cumque optio nihil est autem. Assumenda perspiciatis doloribus fugit cum. Modi illum laboriosam fugiat sit quia maxime. Ut eos similique quo consequuntur deleniti ipsum. Nihil voluptate pariatur quod fuga nihil ipsam est. Id a dolores molestiae error corrupti eveniet ea.","Pants",996
197,"Dennis Shoes","Natus sapiente beatae.","Vel eos exercitationem autem provident. Nemo sit aliquam. Dicta est laudantium voluptatum a deleniti aliquid dolorem vero natus. Qui atque qui voluptatum vitae ipsum labore repellendus asperiores.","Shoes",891
198,"Jaida Coat","Nostrum et voluptatem vitae eos quidem delectus.","Veritatis ipsum adipisci quo ipsam corporis ex earum in. Qui rerum hic. Maxime tempore ea. Odio incidunt nulla velit magnam eligendi nihil. Blanditiis repudiandae quibusdam optio et delectus perferendis molestias.","Coat",253
199,"Bertram 50 Shorts","Unde fugiat perferendis velit quis sed dolor dolorem.","Maxime non ut dolor ut deleniti corrupti perspiciatis debitis. Ad enim ex impedit exercitationem a. Magni perferendis ab vero cumque. Quia aut impedit maxime sunt et. Beatae iure enim quasi voluptatem placeat voluptatibus voluptatem at. Iusto dolore at et tempore culpa dolores non ex officiis.","Shorts",162
200,"Myrtice Tank Top","Quaerat et hic consectetur ipsa vitae perspiciatis quia incidunt.","Quasi incidunt at. Consectetur aut ex ad nihil quis sunt tempora nulla. Culpa est ea nisi sunt totam dolor. Impedit accusantium sed in aut quibusdam provident sed.","Tank Top",972
